2021-05-29T14:10:36.090+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799462, "baseEpoch": 799461, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895306, "lookbackEpochs": 900, "networkPowerAtLookback": "6671516639061704704", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:11:06.262+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 32, "forRound": 799463, "baseEpoch": 799462, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895307, "lookbackEpochs": 900, "networkPowerAtLookback": "6671516639061704704", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:11:36.032+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799464, "baseEpoch": 799463, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895308, "lookbackEpochs": 900, "networkPowerAtLookback": "6671415037315350528", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:12:06.587+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 118, "forRound": 799465, "baseEpoch": 799464, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895309, "lookbackEpochs": 900, "networkPowerAtLookback": "6671336216075534336", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:12:36.030+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799466, "baseEpoch": 799465, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895310, "lookbackEpochs": 900, "networkPowerAtLookback": "6671336216075534336", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:13:06.071+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 35, "forRound": 799467, "baseEpoch": 799466, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895311, "lookbackEpochs": 900, "networkPowerAtLookback": "6671292957164929024", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:13:36.228+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799468, "baseEpoch": 799467, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895312, "lookbackEpochs": 900, "networkPowerAtLookback": "6671287940643127296", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:14:06.135+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 46, "forRound": 799469, "baseEpoch": 799468, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895313, "lookbackEpochs": 900, "networkPowerAtLookback": "6671308109809549312", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:14:36.275+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799470, "baseEpoch": 799469, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895314, "lookbackEpochs": 900, "networkPowerAtLookback": "6671308109809549312", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:15:06.168+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 55, "forRound": 799471, "baseEpoch": 799470, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895315, "lookbackEpochs": 900, "networkPowerAtLookback": "6671308109809549312", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:15:36.125+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799472, "baseEpoch": 799471, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895316, "lookbackEpochs": 900, "networkPowerAtLookback": "6671325633276116992", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:16:06.102+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 64, "forRound": 799473, "baseEpoch": 799472, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895317, "lookbackEpochs": 900, "networkPowerAtLookback": "6671257497914933248", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:16:36.030+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799474, "baseEpoch": 799473, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895318, "lookbackEpochs": 900, "networkPowerAtLookback": "6671193073405493248", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:17:06.174+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 28, "forRound": 799475, "baseEpoch": 799474, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895319, "lookbackEpochs": 900, "networkPowerAtLookback": "6671010829353189376", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:17:36.507+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799476, "baseEpoch": 799475, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895320, "lookbackEpochs": 900, "networkPowerAtLookback": "6671011035511619584", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:18:06.076+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 44, "forRound": 799477, "baseEpoch": 799476, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895321, "lookbackEpochs": 900, "networkPowerAtLookback": "6671011035511619584", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:18:36.486+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799478, "baseEpoch": 799477, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895322, "lookbackEpochs": 900, "networkPowerAtLookback": "6671010966792142848", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:19:06.328+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 57, "forRound": 799479, "baseEpoch": 799478, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895323, "lookbackEpochs": 900, "networkPowerAtLookback": "6671078861635158016", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:19:36.440+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799480, "baseEpoch": 799479, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895324, "lookbackEpochs": 900, "networkPowerAtLookback": "6670840095813238784", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:20:06.066+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 41, "forRound": 799481, "baseEpoch": 799480, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895325, "lookbackEpochs": 900, "networkPowerAtLookback": "6670840095813238784", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:20:36.028+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799482, "baseEpoch": 799481, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895326, "lookbackEpochs": 900, "networkPowerAtLookback": "6670759384787812352", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:21:06.136+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 93, "forRound": 799483, "baseEpoch": 799482, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895327, "lookbackEpochs": 900, "networkPowerAtLookback": "6670912182544334848", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:21:36.030+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799484, "baseEpoch": 799483, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895328, "lookbackEpochs": 900, "networkPowerAtLookback": "6670831505878646784", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:22:06.161+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 68, "forRound": 799485, "baseEpoch": 799484, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895329, "lookbackEpochs": 900, "networkPowerAtLookback": "6670838790143180800", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:22:36.235+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799486, "baseEpoch": 799485, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895330, "lookbackEpochs": 900, "networkPowerAtLookback": "6670758079117754368", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:23:06.058+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 25, "forRound": 799487, "baseEpoch": 799486, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895331, "lookbackEpochs": 900, "networkPowerAtLookback": "6670596657066901504", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:23:36.034+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799488, "baseEpoch": 799487, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895332, "lookbackEpochs": 900, "networkPowerAtLookback": "6670539413742780416", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:24:06.071+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 44, "forRound": 799489, "baseEpoch": 799488, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895333, "lookbackEpochs": 900, "networkPowerAtLookback": "6670539482462257152", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:24:36.068+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799490, "baseEpoch": 799489, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895334, "lookbackEpochs": 900, "networkPowerAtLookback": "6670539654260948992", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:25:06.066+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 42, "forRound": 799491, "baseEpoch": 799489, "baseDeltaSeconds": 36, "nullRounds": 1, "lateStart": false, "beaconEpoch": 895335, "lookbackEpochs": 900, "networkPowerAtLookback": "6670539585541472256", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:25:36.292+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799492, "baseEpoch": 799491, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895336, "lookbackEpochs": 900, "networkPowerAtLookback": "6670547763159203840", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:26:06.682+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 109, "forRound": 799493, "baseEpoch": 799492, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895337, "lookbackEpochs": 900, "networkPowerAtLookback": "6670578102808182784", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
